,AQI Value,AQI Value,AQI Value,AQI Value,AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value
,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count
Russian Federation,42.24853458382181,500,17,21.395759711871815,853,1.037514654161782,21,0,0.8522268063263166,853,33.57327080890973,52,7,6.270943367722069,853,1.0398593200468933,36,0,2.5862231564441047,853,34.36107854630715,475,2,24.752454893374075,853
Rwanda,93.53846153846153,157,56,33.18035408846472,13,3.6153846153846154,7,2,1.8501559185854914,13,22.076923076923077,30,16,4.462091035630762,13,1.4615384615384615,3,0,0.9674179220468452,13,93.53846153846153,157,56,33.18035408846472,13
Saint Kitts and Nevis,90.0,90,90,,1,1.0,1,1,,1,25.0,25,25,,1,0.0,0,0,,1,90.0,90,90,,1
Saint Lucia,79.0,79,79,,1,0.0,0,0,,1,26.0,26,26,,1,0.0,0,0,,1,79.0,79,79,,1
Saudi Arabia,166.25,196,144,23.949599857478482,4,1.0,1,1,0.0,4,62.0,86,44,18.16590212458495,4,0.25,1,0,0.5,4,166.25,196,144,23.949599857478482,4
Senegal,153.61111111111111,211,113,25.85738917917659,18,1.3888888888888888,2,1,0.5016313257045503,18,21.88888888888889,38,13,5.849976258261415,18,1.8888888888888888,4,0,1.278274981412284,18,153.61111111111111,211,113,25.85738917917659,18
Serbia,68.57692307692308,118,38,17.35143792859961,52,1.0,1,1,0.0,52,40.01923076923077,65,23,7.242278876034143,52,0.8076923076923077,4,0,1.0853473563155884,52,68.11538461538461,118,23,18.056180133838968,52
Seychelles,26.0,26,26,,1,0.0,0,0,,1,25.0,25,25,,1,0.0,0,0,,1,26.0,26,26,,1
Sierra Leone,43.57142857142857,77,18,17.26585908983072,14,1.0714285714285714,2,1,0.2672612419124244,14,16.857142857142858,22,8,3.7796447300922718,14,0.07142857142857142,1,0,0.26726124191242434,14,43.42857142857143,77,16,17.500392460277464,14
Singapore,91.0,91,91,,1,1.0,1,1,,1,29.0,29,29,,1,4.0,4,4,,1,91.0,91,91,,1
Slovakia,67.70833333333333,82,48,8.584511668097965,24,1.0,1,1,0.0,24,40.333333333333336,59,30,7.044372818484063,24,0.7916666666666666,2,0,0.832970935693524,24,67.70833333333333,82,48,8.584511668097965,24
Slovenia,72.35714285714286,85,31,13.316312395861546,14,1.1428571428571428,2,1,0.36313651960128146,14,40.57142857142857,57,25,9.669255684617378,14,1.4285714285714286,5,0,1.6035674514745464,14,71.21428571428571,85,15,17.245639678251656,14
Solomon Islands,18.0,18,18,,1,0.0,0,0,,1,18.0,18,18,,1,0.0,0,0,,1,6.0,6,6,,1
Somalia,71.8,138,28,38.746469373207276,10,0.1,1,0,0.31622776601683794,10,20.5,25,18,2.273030282830976,10,0.0,0,0,0.0,10,71.8,138,28,38.746469373207276,10
South Africa,116.79787234042553,500,21,78.59964975533254,94,6.01063829787234,49,0,8.313086820875908,94,15.74468085106383,34,0,7.744489779195233,94,7.372340425531915,30,0,6.962239230927848,94,116.79787234042553,500,21,78.59964975533254,94
South Sudan,60.111111111111114,84,39,13.327081867802537,9,1.2222222222222223,2,1,0.4409585518440984,9,10.777777777777779,22,4,5.517648452415616,9,0.0,0,0,0.0,9,60.111111111111114,84,39,13.327081867802537,9
Spain,38.52845528455285,94,20,10.445055624163516,246,0.8130081300813008,2,0,0.42087554020374623,246,31.78048780487805,66,12,8.713617384550489,246,1.6788617886178863,9,0,1.849026308905238,246,30.414634146341463,94,8,14.449872157766961,246
Sri Lanka,58.18518518518518,105,41,14.101383011924856,27,0.4444444444444444,2,0,0.5773502691896258,27,23.333333333333332,40,10,5.764613536983137,27,0.8518518518518519,7,0,1.6101529717988265,27,58.18518518518518,105,41,14.101383011924856,27
State of Palestine,86.0,86,86,,1,1.0,1,1,,1,85.0,85,85,,1,2.0,2,2,,1,86.0,86,86,,1
Sudan,69.5,93,51,19.20937271229855,4,1.25,2,1,0.5,4,29.75,46,16,14.150971698084906,4,0.25,1,0,0.5,4,69.5,93,51,19.20937271229855,4
Suriname,43.333333333333336,65,21,22.007574453658755,3,0.6666666666666666,1,0,0.5773502691896258,3,19.0,20,18,1.0,3,0.0,0,0,0.0,3,43.333333333333336,65,21,22.007574453658755,3
Sweden,37.06666666666667,73,26,8.642916174532761,45,0.6444444444444445,1,0,0.48409031630826327,45,35.17777777777778,46,25,4.77345352819723,45,0.3333333333333333,2,0,0.6030226891555273,45,23.68888888888889,73,6,13.488753265089574,45
Switzerland,56.38202247191011,128,28,21.05323642685238,89,1.0112359550561798,2,0,0.353372775822563,89,30.764044943820224,55,19,8.750353852468576,89,1.6629213483146068,7,0,1.5221383002563376,89,56.146067415730336,128,20,21.376256242615288,89
Syrian Arab Republic,69.25,77,56,9.178779875342908,4,1.0,1,1,0.0,4,53.5,77,42,15.88500340992514,4,0.5,1,0,0.5773502691896257,4,64.75,73,56,8.5,4
Tajikistan,111.61538461538461,153,77,26.459209050720766,13,1.0,1,1,0.0,13,45.30769230769231,66,25,11.799608859227888,13,0.15384615384615385,1,0,0.37553380809940534,13,111.61538461538461,153,77,26.459209050720766,13
Thailand,53.81761006289308,162,18,22.853649778013594,159,0.6163522012578616,3,0,0.7939545481551593,159,23.17610062893082,72,3,7.249211734707426,159,0.8238993710691824,13,0,2.127382034079364,159,53.679245283018865,162,16,23.046546394039606,159
Togo,52.0,77,40,11.92835756865606,8,1.25,2,1,0.4629100498862757,8,18.5,29,11,6.676183683170243,8,0.25,1,0,0.4629100498862757,8,52.0,77,40,11.92835756865606,8
Trinidad and Tobago,94.5,161,59,39.199125354673775,8,0.75,1,0,0.4629100498862757,8,21.75,25,21,1.3887301496588271,8,3.5,5,2,1.1952286093343936,8,94.5,161,59,39.199125354673775,8
Tunisia,51.0,57,45,8.48528137423857,2,1.0,1,1,0.0,2,50.0,57,43,9.899494936611665,2,1.0,2,0,1.4142135623730951,2,36.0,45,27,12.727922061357855,2
Turkey,52.24786324786325,121,26,15.874999854958448,117,0.8974358974358975,2,0,0.35682062007003157,117,40.76068376068376,80,26,6.765339623263276,117,0.3162393162393162,4,0,0.714982187499037,117,45.82905982905983,121,7,20.764396998929392,117
Turkmenistan,114.71428571428571,163,55,43.16910270750863,7,1.0,1,1,0.0,7,43.714285714285715,49,40,3.251373336211726,7,0.0,0,0,0.0,7,114.71428571428571,163,55,43.16910270750863,7
Uganda,83.93442622950819,180,39,33.126962257582576,61,2.5737704918032787,7,1,1.4771483382229265,61,20.24590163934426,37,12,5.812789742469956,61,0.639344262295082,4,0,0.9134693369282827,61,83.93442622950819,180,39,33.126962257582576,61
Ukraine,50.65972222222222,103,34,14.322051653260559,144,1.0,1,1,0.0,144,38.02777777777778,52,24,4.567970650776543,144,0.5138888888888888,5,0,0.7192275490331744,144,42.63194444444444,103,6,22.70416200647961,144
United Arab Emirates,163.66666666666666,170,152,10.11599393699568,3,1.3333333333333333,2,1,0.5773502691896257,3,159.66666666666666,170,140,17.039170558842745,3,3.3333333333333335,4,3,0.5773502691896258,3,152.66666666666666,156,150,3.055050463303897,3
United Kingdom of Great Britain and Northern Ireland,39.18611111111111,78,23,11.15508934346115,360,0.7222222222222222,1,0,0.44852659505160386,360,27.694444444444443,40,5,6.892406076903653,360,3.4833333333333334,13,0,3.0783184643966135,360,35.69166666666667,78,9,14.501635197395103,360
United Republic of Tanzania,35.3125,195,15,28.989803899970244,64,0.671875,10,0,1.5124319478328265,64,17.75,28,10,3.660167400109645,64,0.21875,10,0,1.3028509642014452,64,34.6875,195,8,29.406227069724373,64
United States of America,59.55743608210299,500,12,22.793246643675023,2777,1.4501260352898813,133,0,2.605092445264567,2777,27.704717320849838,125,0,13.071625288434149,2777,8.489016924738927,53,0,8.000313282235044,2777,57.90277277637738,500,7,23.920781758668127,2777
Uruguay,26.5,52,11,10.88577052853862,18,0.2222222222222222,1,0,0.4277926319464986,18,18.77777777777778,26,9,5.525934103155619,18,1.0,6,0,1.533929977694741,18,21.77777777777778,52,4,14.140286857709098,18
Uzbekistan,118.38461538461539,172,60,33.24825038774453,26,1.0384615384615385,2,1,0.19611613513818402,26,48.5,95,20,18.05602392554906,26,2.1538461538461537,16,0,3.618754566889639,26,118.38461538461539,172,60,33.24825038774453,26
Venezuela (Bolivarian Republic of),77.76923076923077,163,28,39.31003732751725,52,1.2884615384615385,4,0,0.8004052518063305,52,17.653846153846153,43,0,9.668798849472129,52,3.6346153846153846,16,0,4.297873829815573,52,77.76923076923077,163,28,39.31003732751725,52
Viet Nam,93.0,181,59,46.55749134135129,6,2.3333333333333335,4,1,1.3662601021279464,6,51.833333333333336,181,8,63.966918533462795,6,2.0,6,0,2.280350850198276,6,87.0,145,59,33.41257248402164,6
Yemen,118.5,156,81,53.033008588991066,2,1.0,1,1,0.0,2,43.5,46,41,3.5355339059327378,2,0.0,0,0,0.0,2,118.5,156,81,53.033008588991066,2
Zambia,41.75,125,19,20.98081133904131,28,0.7857142857142857,2,0,0.5681120688308978,28,20.535714285714285,27,15,3.338686178248174,28,0.10714285714285714,2,0,0.41626965212518585,28,41.392857142857146,125,16,21.328713537483242,28
Zimbabwe,45.2,93,17,17.10506747526397,25,1.4,5,0,1.224744871391589,25,17.56,26,13,3.663786747797056,25,0.48,3,0,0.8225975119502044,25,44.4,93,12,18.31210892642716,25
